recnum,fc_num,contact_date,sex,race,age,build,hair_style,complexion,ethnicity,otherclothing
100058996,F190041742,2019-01-14 10:30:00.0,Male,Black,36,,,,Not of Hispanic Origin,
100059005,F190041726,2019-01-13 13:35:00.0,Male,Black,23,,,,,
100059018,F190041770,2019-01-15 01:56:00.0,Male,Black,25,,,,Not of Hispanic Origin,
100059019,F190041770,2019-01-15 01:56:00.0,Male,Black,23,,,,Not of Hispanic Origin,
100059020,F190041772,2019-01-15 01:30:00.0,Male,Black,31,,,,,
100059026,F190041768,2019-01-15 01:52:00.0,Male,Black,26,,,,Not of Hispanic Origin,
100059027,F190041768,2019-01-15 01:52:00.0,Male,Black,23,,,,Not of Hispanic Origin,
100059028,F190041759,2019-01-14 17:25:00.0,Female,White,34,,,,Not of Hispanic Origin,
100059037,F190041719,2019-01-13 03:05:00.0,Male,Black,29,Thin,Short,Dark,Unknown,"BLACK JACKET, DARK PANTS"
100059038,F190041719,2019-01-13 03:05:00.0,Female,Black,28,,,,,
100059042,F190041691,2019-01-11 00:00:00.0,Male,Black,17,,,,,
100059043,F190041696,2019-01-11 00:00:00.0,Male,Unknown,32,,,,,"BLUE WINTER HAT, GRAY HOODED SWEATSHIRT WITH ""FAMILY AND FRIENDS AGAINST GUN AND VIOLENCE"" IN BLUE LETTERING, BLACK SWEAT PANTS, BLACK WORK BOOTS"
100059045,F190041754,2019-01-14 12:30:00.0,Male,Asian,23,Medium,Long,,Not of Hispanic Origin,
100059046,F190041755,2019-01-14 13:35:00.0,Male,Black,32,Stocky,Short,Medium Brown,Unknown,"BLACK BASEBALL CAP, DARK JACKET, GREY SWEATPANTS."
,F190042041,2019-01-27 17:15:00.0,,,,,,,,
100059550,F190042112,2019-01-29 19:45:00.0,Male,White,51,,,,Not of Hispanic Origin,
100059538,F190042109,2019-01-28 17:15:00.0,Female,White,33,,,,Not of Hispanic Origin,
100059108,F190041816,2019-01-16 03:09:00.0,Male,White,32,Medium,,,Not of Hispanic Origin,"GRAY JACKET, GRAY HOODED SWEATSHIRT, RED TSHIRT, BLK SEATPANTS, GRAY SNEAKERS"
100059421,F190042034,2019-01-24 09:30:00.0,Male,White,47,Thin,Short,Fair,Not of Hispanic Origin,"BLUE COAT, BLUE JEANS, BLACK SNEAKERS"
100060217,F190042562,2019-01-19 09:30:00.0,Male,Black,29,Medium,,Light Brown,Not of Hispanic Origin,
100059271,F190041930,2019-01-21 22:33:00.0,Male,Black,25,Medium,Short,Medium Brown,Not of Hispanic Origin,BLACK JACKET WITH HOOD
100059143,F190041859,2019-01-17 13:45:00.0,Male,Black,54,Heavy,,Dark Brown,Not of Hispanic Origin,
100059460,F190042083,2019-01-27 22:50:00.0,Male,Black,34,,,Light Brown,,
100059250,F190041920,2019-01-21 12:05:00.0,Male,White,32,Medium,,Light,Not of Hispanic Origin,"BLACK JACKET, BLACK PANTS, BLACK SHOOTS"
100059360,F190041988,2019-01-24 22:00:00.0,Male,Black,25,Medium,,Dark Brown,Not of Hispanic Origin,
100059496,F190042091,2019-01-27 20:00:00.0,Male,Black,23,Medium,,Brown,Not of Hispanic Origin,
100059525,F190042115,2019-01-29 14:00:00.0,Male,Black,27,Thin,,Medium Brown,Not of Hispanic Origin,"BLACK & GRAY JACKET, BLUE JEANS"
100059920,F190041966,2019-01-23 20:20:00.0,Male,Black,20,Small,,Medium Brown,Hispanic Origin,"BLACK TSHIRT, BLACK BASKETBALL SHORTS"
100059104,F190041810,2019-01-16 01:15:00.0,Male,Black,36,Medium,,Medium Brown,,"BRUINS SWEATER, BLK JEANS"
100059911,F190042060,2019-01-28 00:00:00.0,Male,Black,28,Medium,,Dark Brown,,"RED HAT, RED/GREY JACKET, RED/GREY SWEATPANTS, RED SHOES"
100059097,F190041802,2019-01-15 19:30:00.0,Female,Black,30,Heavy,Long,Medium Brown,Not of Hispanic Origin,DARK COLORED SHIRT
100059122,F190041829,2019-01-16 12:47:00.0,Male,Black,54,Medium,,Light Brown,Not of Hispanic Origin,"BLACK DOO-RAG, TAN COAT, BOOTS."
100059059,F190041797,2019-01-15 17:02:00.0,Male,Black,18,Thin,Short,Medium Brown,Not of Hispanic Origin,"BLACK HOODED SWEATSHIRT, BLACK SWEATPANTS"
100059306,F190041916,2019-01-19 09:10:00.0,Female,White,29,Medium,Long,Light,Not of Hispanic Origin,"TAN COAT, BLUE SWEATPANTS, BLACK SHOES"
